start-date-time,source,end-date-time,geography,name,tags,miscellaneous
Thu: Mar 14(10pm-4am),19hz,Thu: Mar 14(10pm-4am),Substance w/ S.W.A.T. (Ra-Soul + Kwai Le Chief) @ The Endup (San Francisco),Substance w/ S.W.A.T. (Ra-Soul + Kwai Le Chief) @ The Endup (San Francisco),,Free w/RSVP b4 11pm / $10-15 | 21+|Delta Funk|Facebook Page
Fri: Mar 15-Sun: Mar 17(Fri: 2pm-Sun: 5pm),19hz,Fri: Mar 15-Sun: Mar 17(Fri: 2pm-Sun: 5pm),Celtic Chaos St Patrick's Day Campout @ TBA (Healdsburg),Celtic Chaos St Patrick's Day Campout @ TBA (Healdsburg),house,|Celtic Chaos|
Fri: Mar 15(7pm-10pm),19hz,Fri: Mar 15(7pm-10pm),Nils Frahm @ The Warfield (San Francisco),Nils Frahm @ The Warfield (San Francisco),"experimental, live looping, ambient, classical",$25-43.50|Goldenvoice-SF|Facebook Page
Fri: Mar 15(8pm),19hz,Fri: Mar 15(8pm),"Liquid Stranger w/Lsdream, Champagne Drip, G-Rex, Lucii @ Slim's (San Francisco)","Liquid Stranger w/Lsdream, Champagne Drip, G-Rex, Lucii @ Slim's (San Francisco)","dubstep, bass music",$22.50-47.45 | 18+|Slim's|
Fri: Mar 15(8pm-4am),19hz,Fri: Mar 15(8pm-4am),"Dirtybird Quarterly: Christian Martin, Worthy, Ardalan @ Mezzanine (San Francisco)","Dirtybird Quarterly: Christian Martin, Worthy, Ardalan @ Mezzanine (San Francisco)","tech house, funky house",21+|Dirtybird|
Fri: Mar 15(8pm-4pm),19hz,Fri: Mar 15(8pm-4pm),"Pisces 2019: Wichdokta, Forest Green, Rob-Ot, Seventh Sign v John Connor @ TBA (San Francisco)","Pisces 2019: Wichdokta, Forest Green, Rob-Ot, Seventh Sign v John Connor @ TBA (San Francisco)","trance, psytrance",|Michael Liu|
Fri: Mar 15(9pm),19hz,Fri: Mar 15(9pm),Phutureprimitive @ Hopmonk Tavern Sebastopol (Sebastopol),Phutureprimitive @ Hopmonk Tavern Sebastopol (Sebastopol),"dubstep, future beats, glitch, bass music",$23.18 | 21+||Facebook Page
Fri: Mar 15(9:30pm-3am),19hz,Fri: Mar 15(9:30pm-3am),"Old School Cool w/Justin Campbell, Dink!, Special Guest, Iwata, Snee, B-Rose @ Monarch (San Francisco)","Old School Cool w/Justin Campbell, Dink!, Special Guest, Iwata, Snee, B-Rose @ Monarch (San Francisco)","tech house, deep house",$15-17.50 | 21+|Pile Palace|
Fri: Mar 15(10pm),19hz,Fri: Mar 15(10pm),Robin Schulz @ Love & Propaganda (San Francisco),Robin Schulz @ Love & Propaganda (San Francisco),tropical house,$20-40 | 21+||Facebook Page
Fri: Mar 15(10pm-2am),19hz,Fri: Mar 15(10pm-2am),Breakbot (DJ Set) @ Audio (San Francisco),Breakbot (DJ Set) @ Audio (San Francisco),"funk, disco, house",$15-25 | 21+|Audio San Francisco|
Fri: Mar 15(10pm-2am),19hz,Fri: Mar 15(10pm-2am),"Know Rhythm Sessions: Jefreedom + Kerge, Flow-Key, DJ Jcue @ The Blue Chip Sports Lounge & Restaurant (San Jose)","Know Rhythm Sessions: Jefreedom + Kerge, Flow-Key, DJ Jcue @ The Blue Chip Sports Lounge & Restaurant (San Jose)","house, hip-hop, funk, disco, soul",|Troomoov|
Fri: Mar 15(10pm-2am),19hz,Fri: Mar 15(10pm-2am),MK (Marc Kinchen) @ Temple Nightclub (San Francisco),MK (Marc Kinchen) @ Temple Nightclub (San Francisco),house,$20-30 | 21+|Temple Nightclub|
Fri: Mar 15(10pm-4am),19hz,Fri: Mar 15(10pm-4am),Dennis Cruz @ Halcyon (San Francisco),Dennis Cruz @ Halcyon (San Francisco),"deep house, tech house",$5-20 | 21+|Halcyon SF|Facebook Page
Fri: Mar 15(10pm-4am),19hz,Fri: Mar 15(10pm-4am),Glamcocks Present: Alter Egos @ The Public Works (San Francisco),Glamcocks Present: Alter Egos @ The Public Works (San Francisco),house,$15-20 | 21+|Glamcocks|Facebook Page
Fri: Mar 15(10pm-4am),19hz,Fri: Mar 15(10pm-4am),Maceo Plex @ 1015 Folsom (San Francisco),Maceo Plex @ 1015 Folsom (San Francisco),tech house,$20 pre | 21+|Up All Night SF|Facebook Page
Sat: Mar 16(1pm-7pm),19hz,Sat: Mar 16(1pm-7pm),Daft Brunch @ The Great Northern (San Francisco),Daft Brunch @ The Great Northern (San Francisco),"funky house, disco, french house",Free w/RSVP / $10 | 21+|L'affaire Musicale & Orlove Entertainment|
Sat: Mar 16(1pm-7pm),19hz,Sat: Mar 16(1pm-7pm),"Pizza and Techno: Akira, Ampers&nd, Icecreams, Michio, Mike Kerrigan, Late Eighties, Willaa @ Public Works (San Francisco)","Pizza and Techno: Akira, Ampers&nd, Icecreams, Michio, Mike Kerrigan, Late Eighties, Willaa @ Public Works (San Francisco)","tech house, funky house",Free w/RSVP b4 2 / $5-20 | 21+|Pizza And Techno|Facebook Page
Sat: Mar 16(2pm-8pm),19hz,Sat: Mar 16(2pm-8pm),"Uniiqu3, DJ JiBBZ, DavOmakesbeats @ 7th West (Oakland)","Uniiqu3, DJ JiBBZ, DavOmakesbeats @ 7th West (Oakland)","hip-hop, club music",$10 | 21+|Swagger Like Us|
Sat: Mar 16(4pm-8pm),19hz,Sat: Mar 16(4pm-8pm),Marquee Madness - 1V1 House & Hustle Secretselection Competition @ On One Studios (San Jose),Marquee Madness - 1V1 House & Hustle Secretselection Competition @ On One Studios (San Jose),house dance,$15-20||
Sat: Mar 16(7pm-10pm),19hz,Sat: Mar 16(7pm-10pm),Tea Here Now - Conscious Nightlife In Action Feat. Unityvybe @ The Dhyana Center (Sebastopol),Tea Here Now - Conscious Nightlife In Action Feat. Unityvybe @ The Dhyana Center (Sebastopol),house,$15|Squish Tribe|
Sat: Mar 16(9pm),19hz,Sat: Mar 16(9pm),"12th Planet w/ Gentlemens Club, Infekt b2b Mvrda and Shlump @ The Regency Ballroom (San Francisco)","12th Planet w/ Gentlemens Club, Infekt b2b Mvrda and Shlump @ The Regency Ballroom (San Francisco)","dubstep, bass music",$20-25 | 18+|Goldenvoice|
Sat: Mar 16(9pm),19hz,Sat: Mar 16(9pm),GAWP @ Fulton 55 (Fresno),GAWP @ Fulton 55 (Fresno),"tech house, jackin house",$10 | 21+|LMC|Facebook Page
Sat: Mar 16(9pm-1:30am),19hz,Sat: Mar 16(9pm-1:30am),Club Necromancy - History Of Industrial Dance Party @ Midtown Barfly (Sacramento),Club Necromancy - History Of Industrial Dance Party @ Midtown Barfly (Sacramento),"goth, industrial, synthpop, EBM, dark 80s, new wave",$5 b4 10/$8 | 21+|Club Necromancy|
Sat: Mar 16(9pm-2am),19hz,Sat: Mar 16(9pm-2am),"Disco Kisses w/Deckard, Justin Johnson @ Lounge 3411 (Oakland)","Disco Kisses w/Deckard, Justin Johnson @ Lounge 3411 (Oakland)","electro house, breaks, funky house",Free | 21+|Southern Vice Recordings|
Sat: Mar 16(9pm-2am),19hz,Sat: Mar 16(9pm-2am),"Friendship! Friendship! w/ Donald Glaude, Donald Glaude, Sonny Daze, Ernesto Cruz, Infusion , Amber Leigh @ BRIX 581 (Oakland)","Friendship! Friendship! w/ Donald Glaude, Donald Glaude, Sonny Daze, Ernesto Cruz, Infusion , Amber Leigh @ BRIX 581 (Oakland)","funky house, tech house",Free | 21+|Carlos Alfonzo|
Sat: Mar 16(9pm-2am),19hz,Sat: Mar 16(9pm-2am),"Music For The Brain: A fundraiser for Billy Ross w/ Grymetyme, Oneness, DubCOliNG, Tattoo Joe, Phil-Harmonic, Ninjah Music, Gwann, TYMK @ American Legion Post 795 (South Lake Tahoe)","Music For The Brain: A fundraiser for Billy Ross w/ Grymetyme, Oneness, DubCOliNG, Tattoo Joe, Phil-Harmonic, Ninjah Music, Gwann, TYMK @ American Legion Post 795 (South Lake Tahoe)","dubstep, bass music, glitch, midtempo bass",$20 | 21+|Hakunamatahoe|
Sat: Mar 16(9pm-3:30am),19hz,Sat: Mar 16(9pm-3:30am),Bootie SF: St. Paddy's Party @ DNA Lounge (San Francisco),Bootie SF: St. Paddy's Party @ DNA Lounge (San Francisco),mashups,$10 b4 10pm/$15 pre/$20 | 21+|Bootie SF|Facebook Page
Sat: Mar 16(9:30pm-2am),19hz,Sat: Mar 16(9:30pm-2am),Alex Cruz @ Audio (San Francisco),Alex Cruz @ Audio (San Francisco),"deep house, progressive house",$10-15 | 21+|Audio San Francisco|
Sat: Mar 16(9:30pm-2pm),19hz,Sat: Mar 16(9:30pm-2pm),Lazerpunk & Vector Hold @ DNA Lounge (San Francisco),Lazerpunk & Vector Hold @ DNA Lounge (San Francisco),synthwave,$14-17 | 18+|Turbodrive|Facebook Page
Sat: Mar 16(9:30pm-3:30am),19hz,Sat: Mar 16(9:30pm-3:30am),Opel 17 Year Anniversary w/ Stanton Warriors & The Scumfrog @ Public Works (San Francisco),Opel 17 Year Anniversary w/ Stanton Warriors & The Scumfrog @ Public Works (San Francisco),"breaks, bass house, electro house",$15-25 | 21+|Opel Productions|
Sat: Mar 16(9:30pm-3:30am),19hz,Sat: Mar 16(9:30pm-3:30am),"Wormhole // Yheti, Nastynasty, Potions & More @ The Great Northern (San Francisco)","Wormhole // Yheti, Nastynasty, Potions & More @ The Great Northern (San Francisco)","dubstep, glitch-hop, bass music",$10-20 | 21+|Wormhole|Event Link
Sat: Mar 16(9:30pm-4am),19hz,Sat: Mar 16(9:30pm-4am),House Of Face: DJ Harvey / Eug / Tommy Guerrero / Fraser Cooke @ Monarch (San Francisco),House Of Face: DJ Harvey / Eug / Tommy Guerrero / Fraser Cooke @ Monarch (San Francisco),"house, techno, disco",$25-35 | 21+|Monarch|Facebook Page
Sat: Mar 16(10pm),19hz,Sat: Mar 16(10pm),"Graves, Hex Cougar @ Rickshaw Stop (San Francisco)","Graves, Hex Cougar @ Rickshaw Stop (San Francisco)","future bass, dubstep",$15 | 18+|Goldenvoice|
Sat: Mar 16(10pm-4am),19hz,Sat: Mar 16(10pm-4am),Oliver Smith X Dolby Atmos @ Halcyon (San Francisco),Oliver Smith X Dolby Atmos @ Halcyon (San Francisco),trance,$10+ | 21+|Halcyon SF|
Sat: Mar 16(11pm-6am),19hz,Sat: Mar 16(11pm-6am),"Animal Bottoms Tiger: Charlotte the Baroness, Mike Frugaletti, Jeffrey Spaulding, Tom Cruise, Mathew Loves @ TBA (Oakland)","Animal Bottoms Tiger: Charlotte the Baroness, Mike Frugaletti, Jeffrey Spaulding, Tom Cruise, Mathew Loves @ TBA (Oakland)","funky house, tech house, jackin house, deep house",$10|QRS|Facebook Page
Sat: Mar 16(11:55pm-6am),19hz,Sat: Mar 16(11:55pm-6am),TVOD All-Nighter Featuring Special Guest @ Counterpulse (San Francisco),TVOD All-Nighter Featuring Special Guest @ Counterpulse (San Francisco),techno,$15 pre/$20|TVOD|
Sun: Mar 17(12pm-8pm),19hz,Sun: Mar 17(12pm-8pm),Danceflo @ Mars Bar (San Francisco),Danceflo @ Mars Bar (San Francisco),"house, disco, funk",Free | 21+|Dj Swingkidd|
Sun: Mar 17(12pm-8pm),19hz,Sun: Mar 17(12pm-8pm),"Fisher - San Francisco Block Party Catch & Release w/Tensnake, Waze & Odyssey, Martin Ikin, David Harness, Ney x Miss Mak, Torie, Invisible Child b2b MNTRA @ Utah St between Alameda and 16th (San Francisco)","Fisher - San Francisco Block Party Catch & Release w/Tensnake, Waze & Odyssey, Martin Ikin, David Harness, Ney x Miss Mak, Torie, Invisible Child b2b MNTRA @ Utah St between Alameda and 16th (San Francisco)","funky house, tech house, bass house","$30-45 | 21+|Monarch, Insomniac|Facebook Page"
Sun: Mar 17(1pm-10pm),19hz,Sun: Mar 17(1pm-10pm),Open Door Sessions 6.0 @ Neyborly (Berkeley),Open Door Sessions 6.0 @ Neyborly (Berkeley),production workshop,$13-30|Neon Owl|Facebook Page
Sun: Mar 17(1pm-9pm),19hz,Sun: Mar 17(1pm-9pm),Daft Brunch SF: St. Patrick's Day @ The Great Northern (San Francisco),Daft Brunch SF: St. Patrick's Day @ The Great Northern (San Francisco),"funky house, disco",Free w/RSVP / $10 | 21+|L'affaire Musicale & Orlove Entertainment|
Sun: Mar 17(4pm-10pm),19hz,Sun: Mar 17(4pm-10pm),"Sol*Sundze Season Opener: Sugar D, Cantos, Mr. Bremson, Diego Valle, Todd Hurley @ Mango's (Sacramento)","Sol*Sundze Season Opener: Sugar D, Cantos, Mr. Bremson, Diego Valle, Todd Hurley @ Mango's (Sacramento)","funky house, jackin house, deep house",Free | 21+|Sol Sundaze|Event Link
Sun: Mar 17(7pm-11pm),19hz,Sun: Mar 17(7pm-11pm),"KOKOKO! (live), Vague Terrain (DJ CZ, Yaniv), Sep @ Public Works (San Francisco)","KOKOKO! (live), Vague Terrain (DJ CZ, Yaniv), Sep @ Public Works (San Francisco)","gqom, afrobeats, club music",$12-15 | 21+||Event Link
Sun: Mar 17(9pm-1:45am),19hz,Sun: Mar 17(9pm-1:45am),"Rage Of Equinox - Fabricio Pecanha, Andre Silva and Dgs @ The Jam (Arcata)","Rage Of Equinox - Fabricio Pecanha, Andre Silva and Dgs @ The Jam (Arcata)",house,$5 b4 10/$10 | 21+|Deep Groove Society|
Tue: Mar 19(8pm-11pm),19hz,Tue: Mar 19(8pm-11pm),Tipper - Surrounded : Listen @ Envelop at the Midway (San Francisco),Tipper - Surrounded : Listen @ Envelop at the Midway (San Francisco),"experimental, glitch, ambient, IDM ",$25|Envelop|
Tue: Mar 19(10pm-2am),19hz,Tue: Mar 19(10pm-2am),Raquel Divar . Cory O . Heisty @ Monarch (San Francisco),Raquel Divar . Cory O . Heisty @ Monarch (San Francisco),"dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",$4 pre | 21+|Soundpieces x Sublimate|
Wed: Mar 20(8pm-12am),19hz,Wed: Mar 20(8pm-12am),DJmaDRE @ The Royale (San Francisco),DJmaDRE @ The Royale (San Francisco),"future bass, hip hop, funk, soul, global bass",Free | 21+|Will Weston|Event Link
Wed: Mar 20(9pm-12am),19hz,Wed: Mar 20(9pm-12am),"Sigsaly, Zanna Nera and Dimentia @ Elbo Room Jack London (Oakland)","Sigsaly, Zanna Nera and Dimentia @ Elbo Room Jack London (Oakland)","darkwave, ambient, minimal, techno, industrial",$8||
Wed: Mar 20(9pm-1am),19hz,Wed: Mar 20(9pm-1am),"Ahee, Kowta, Junglebandit, Highend @ MOTIV (Santa Cruz)","Ahee, Kowta, Junglebandit, Highend @ MOTIV (Santa Cruz)","bass music, glitch-hop, dubstep, trap",$5 | 21+|Santa Cruz Music Festival & Euphoric.Net|
Wed: Mar 20(9pm-2am),19hz,Wed: Mar 20(9pm-2am),"Housepitality: Thatmanmonkz, Jade, Michael Perry @ F8 1192 Folsom (San Francisco)","Housepitality: Thatmanmonkz, Jade, Michael Perry @ F8 1192 Folsom (San Francisco)","deep house, tech house, funky house",Free w/RSVP b4 10pm / $5 pre / $10 | 21+|Housepitality|Facebook Page
Thu: Mar 21(9pm-1:30am),19hz,Thu: Mar 21(9pm-1:30am),Pat Lok + Party Pupils / Party Lok Tour @ The Continental Bar Lounge & Patio (San Jose),Pat Lok + Party Pupils / Party Lok Tour @ The Continental Bar Lounge & Patio (San Jose),house,$12-20 | 21+|The Changing Same|Facebook Page
Thu: Mar 21(9pm-2am),19hz,Thu: Mar 21(9pm-2am),Sequence: Lady Faith + Madgrrl @ DNA Lounge (San Francisco),Sequence: Lady Faith + Madgrrl @ DNA Lounge (San Francisco),"hardstyle, hardcore","$5-10 | 18+|Vital Events, Llc|Facebook Page"
Thu: Mar 21(9:30pm-2am),19hz,Thu: Mar 21(9:30pm-2am),Nora En Pure @ Audio (San Francisco),Nora En Pure @ Audio (San Francisco),progressive house,$15-35 | 21+|Audio San Francisco|
Fri: Mar 22(2am-6am),19hz,Fri: Mar 22(2am-6am),Riva Starr @ TBA (San Francisco),Riva Starr @ TBA (San Francisco),"deep house, tech house",$10-20 | 21+|SET|
Fri: Mar 22(1pm-12am),19hz,Fri: Mar 22(1pm-12am),"Algorithmic Art Assembly: Mark Fell, W00dy, Renick Bell, Kindohm, Algobabez, Kit Clayton, TVO, Shatter Pattern, William Fields, Spednar, Sebastian Camens, Digital Selves, Spatial, Vou, Wobbly, Charlie Roberts @ Gray Area Foundation For The Arts (San Francisco)","Algorithmic Art Assembly: Mark Fell, W00dy, Renick Bell, Kindohm, Algobabez, Kit Clayton, TVO, Shatter Pattern, William Fields, Spednar, Sebastian Camens, Digital Selves, Spatial, Vou, Wobbly, Charlie Roberts @ Gray Area Foundation For The Arts (San Francisco)","experimental, live a/v",$75 | 21+|Highpoint Lowlife|Facebook Page
Fri: Mar 22(6:30pm-3:30am),19hz,Fri: Mar 22(6:30pm-3:30am),"So Stoked: Enter The Matrix w/Omnia, Evol Intent, Arkham Knights, Corrine, Tranz Am, Soulr, Alien, Kenai, Krystalize, Lunar, Romhak, CannaBassDawgz, MDKai, Tarocco, DJ Nightkat, Cohn Jonner, Apollo Husky, Axel Holmes, Gutter Kid, DJ Smokie, Koby, Reflekt @ DNA Lounge (San Francisco)","So Stoked: Enter The Matrix w/Omnia, Evol Intent, Arkham Knights, Corrine, Tranz Am, Soulr, Alien, Kenai, Krystalize, Lunar, Romhak, CannaBassDawgz, MDKai, Tarocco, DJ Nightkat, Cohn Jonner, Apollo Husky, Axel Holmes, Gutter Kid, DJ Smokie, Koby, Reflekt @ DNA Lounge (San Francisco)","trance, drum and bass, psytrance, techno, hardcore, house, dubstep","$10-20 pre/$25-30|Kandi Love & PLUR Alliance, Cyberdelia|Facebook Page"
Fri: Mar 22(8pm-12am),19hz,Fri: Mar 22(8pm-12am),The Space Lady w/ Muscle Drum & Aetatis Suae @ Verdi Club (San Francisco),The Space Lady w/ Muscle Drum & Aetatis Suae @ Verdi Club (San Francisco),experimental,$20-25 | 21+|Tim Strong|Facebook Page
Fri: Mar 22(8pm-2am),19hz,Fri: Mar 22(8pm-2am),Genesis Ft Riot + More @ The Rink Studios (Sacramento),Genesis Ft Riot + More @ The Rink Studios (Sacramento),"dubstep, hip-hop, glitch",$20 | 18+|Home Bass|
Fri: Mar 22(8pm-2am),19hz,Fri: Mar 22(8pm-2am),Maayan Nidam @ Phonobar (San Francisco),Maayan Nidam @ Phonobar (San Francisco),"tech house, minimal",$15 | 21+|Chvck|Facebook Page
Fri: Mar 22(8:30pm),19hz,Fri: Mar 22(8:30pm),Classixx (DJ Set) @ The Independent (San Francisco),Classixx (DJ Set) @ The Independent (San Francisco),"synthpop, pop EDM, nu-disco",$20 | 21+||
Fri: Mar 22(9pm-12am),19hz,Fri: Mar 22(9pm-12am),Fleetmac Wood: Rumours Rave @ The Catalyst (Santa Cruz),Fleetmac Wood: Rumours Rave @ The Catalyst (Santa Cruz),"disco, funk, rock remixes",$15 pre/$20 | 16+|Fleetmac Wood|Event Link
Fri: Mar 22(9pm-1am),19hz,Fri: Mar 22(9pm-1am),Crywolf Live @ Rickshaw Stop (San Francisco),Crywolf Live @ Rickshaw Stop (San Francisco),"synthpop, downtempo",$15-69 | 18+|Popscene|
Fri: Mar 22(9pm-2am),19hz,Fri: Mar 22(9pm-2am),"Frisky: Heavy Petting Zoo Spring Fundraiser w/Dulce Vita, Nugz, Captain Jay, Afterschool Special, Backcheck, Nick Stene, Tyme, Neon Bunny, Carlos Alfonzo, Sonny Daze, B33Son, B Funky @ BRIX 581 (Oakland)","Frisky: Heavy Petting Zoo Spring Fundraiser w/Dulce Vita, Nugz, Captain Jay, Afterschool Special, Backcheck, Nick Stene, Tyme, Neon Bunny, Carlos Alfonzo, Sonny Daze, B33Son, B Funky @ BRIX 581 (Oakland)","tech house, electro house, funky house",$10 b4 10 | 21+|Heavy Petting Zoo|
Fri: Mar 22(9pm-2am),19hz,Fri: Mar 22(9pm-2am),"Prox.Im.I.Ty: Jordan Poling, Brendan Finlayson, Victor Vega @ Underground (San Francisco)","Prox.Im.I.Ty: Jordan Poling, Brendan Finlayson, Victor Vega @ Underground (San Francisco)",house,$8 | 21+|Prox.Im.I.Ty|Facebook Page
Fri: Mar 22(9pm-2am),19hz,Fri: Mar 22(9pm-2am),WPM Lab: DJ's + Performances @ Strummer's (Fresno),WPM Lab: DJ's + Performances @ Strummer's (Fresno),EDM,"Free | 21+|Teezzy Radio, Paradigm Shift Events|"
Fri: Mar 22(9pm-4am),19hz,Fri: Mar 22(9pm-4am),"Erika, Deraout @ F8 1192 Folsom (San Francisco)","Erika, Deraout @ F8 1192 Folsom (San Francisco)",techno,$12-15 | 21+|Direct To Earth|Facebook Page
Fri: Mar 22(9:30pm-1:45am),19hz,Fri: Mar 22(9:30pm-1:45am),"Bassmint 2019: Somatoast, Drrtywulvs, Tba @ BassMint (Chico)","Bassmint 2019: Somatoast, Drrtywulvs, Tba @ BassMint (Chico)","dubstep, bass music",$5 b4 11/$10 | 21+|Bassmint Chico|
Fri: Mar 22(9:30pm-2am),19hz,Fri: Mar 22(9:30pm-2am),Hotel Garuda @ Audio (San Francisco),Hotel Garuda @ Audio (San Francisco),"house, breaks, hip-hop",$10-20 | 21+|Audio San Francisco|
Fri: Mar 22(9:30pm-3am),19hz,Fri: Mar 22(9:30pm-3am),"Gcode w/Ney X Miss Mak, AVN @ Monarch (San Francisco)","Gcode w/Ney X Miss Mak, AVN @ Monarch (San Francisco)","tech house, funky house",$10-15 | 21+|Gcode|Facebook Page
Fri: Mar 22(9:30pm-3am),19hz,Fri: Mar 22(9:30pm-3am),"Mark Farina 50th Birthday: Diz, JT Donaldson , J-Dub, Mike Cashen, Kid Enigma @ The Great Northern (San Francisco)","Mark Farina 50th Birthday: Diz, JT Donaldson , J-Dub, Mike Cashen, Kid Enigma @ The Great Northern (San Francisco)","deep house, jackin house",$10-20 | 21+|Great Lakes Recordings|Facebook Page
Fri: Mar 22(9:30pm-4am),19hz,Fri: Mar 22(9:30pm-4am),Carl Cox & Joseph Capriati @ The Midway (San Francisco),Carl Cox & Joseph Capriati @ The Midway (San Francisco),techno,$32-120 | 21+|The Midway|Facebook Page
Fri: Mar 22(9:30pm-4am),19hz,Fri: Mar 22(9:30pm-4am),Huerco S. & DJ Python @ Public Works (San Francisco),Huerco S. & DJ Python @ Public Works (San Francisco),"tech house, deep house, techno",$17 | 21+|Brouhaha|Facebook Page
Fri: Mar 22(10pm-2am),19hz,Fri: Mar 22(10pm-2am),Vintage Culture @ Temple Nightclub (San Francisco),Vintage Culture @ Temple Nightclub (San Francisco),"pop EDM, house, disco",$20-30 | 21+||Facebook Page
Fri: Mar 22(10pm-3am),19hz,Fri: Mar 22(10pm-3am),Dombresky + Golf Clap + Lucati @ 1015 Folsom (San Francisco),Dombresky + Golf Clap + Lucati @ 1015 Folsom (San Francisco),"disco house, deep house",$15 | 21+|1015 Folsom|
Fri: Mar 22(10pm-3am),19hz,Fri: Mar 22(10pm-3am),FOALS (DJ set) @ Halcyon (San Francisco),FOALS (DJ set) @ Halcyon (San Francisco),electro house,$15-30 | 21+|Halcyon SF|
Fri: Mar 22(10pm-4am),19hz,Fri: Mar 22(10pm-4am),"We Are Monsters: Marie Davidson (Live), Solar, Mozhgan @ The Stud (San Francisco)","We Are Monsters: Marie Davidson (Live), Solar, Mozhgan @ The Stud (San Francisco)","techno, experimental, house",$15-20 | 21+|We Are Monsters|
Sat: Mar 23(2pm-10pm),19hz,Sat: Mar 23(2pm-10pm),"Pulse: DJ Shooey, DJ Icon, Andromeda, Matt Trujillo, Dot Diggler, Zephyr, Freddy Silva, Pumatron, Amy Roze, DJ Rated R @ Faces Nightclub (Sacramento)","Pulse: DJ Shooey, DJ Icon, Andromeda, Matt Trujillo, Dot Diggler, Zephyr, Freddy Silva, Pumatron, Amy Roze, DJ Rated R @ Faces Nightclub (Sacramento)","breaks, electro house, tech house, funky house",$15-25 pre/$50|Woot2|Facebook Page
Sat: Mar 23(7pm-4am),19hz,Sat: Mar 23(7pm-4am),"Trancefamily SF 9 Year Anniversary  w/ Ferry Corsten, Will Atkinson, Factor B, Nifra, Fisherman, Elevven @ The Midway (San Francisco)","Trancefamily SF 9 Year Anniversary  w/ Ferry Corsten, Will Atkinson, Factor B, Nifra, Fisherman, Elevven @ The Midway (San Francisco)",trance,$9-95 | 21+|The Midway|Facebook Page
Sat: Mar 23(7:30pm),19hz,Sat: Mar 23(7:30pm),Fleetmac Wood @ Cornerstone (Berkeley),Fleetmac Wood @ Cornerstone (Berkeley),"disco, funk, rock remixes",$17 pre / $19 | All ages||
Sat: Mar 23(8pm),19hz,Sat: Mar 23(8pm),Unleashed: Kayzo Doghouse Takeover @ Bill Graham Civic Auditorium (San Francisco),Unleashed: Kayzo Doghouse Takeover @ Bill Graham Civic Auditorium (San Francisco),"pop EDM, dubstep, hardcore",$40-45 | 18+||
Sat: Mar 23(8pm-11:59pm),19hz,Sat: Mar 23(8pm-11:59pm),"Com Truise w/ Jack Grace, Ginla @ Great American Music Hall (San Francisco)","Com Truise w/ Jack Grace, Ginla @ Great American Music Hall (San Francisco)","synthpop, electro, synthwave",$20-44.95 | 21+|Great American Music Hall|
Sat: Mar 23(8:30pm-1:30am),19hz,Sat: Mar 23(8:30pm-1:30am),Purim 2019 @ Ivy Room (Albany),Purim 2019 @ Ivy Room (Albany),psytrance,|Gabriel Taub|
Sat: Mar 23(9pm-2am),19hz,Sat: Mar 23(9pm-2am),Egyptian Lover @ Starline Social Club (Oakland),Egyptian Lover @ Starline Social Club (Oakland),"hip-hop, electro",$20-25 | 21+|Starline Social Club|
Sat: Mar 23(9pm-2am),19hz,Sat: Mar 23(9pm-2am),"Soulmatic Feat Master DJ Tony Soul, Cantos, Analog Disko, Toddy Hurley, Alex Hernandez @ 705 J St (Sacramento)","Soulmatic Feat Master DJ Tony Soul, Cantos, Analog Disko, Toddy Hurley, Alex Hernandez @ 705 J St (Sacramento)","deep house, funky house",$10 | 21+|Andy Cruz|
Sat: Mar 23(9pm-3:30am),19hz,Sat: Mar 23(9pm-3:30am),Bootie SF: Barcelona Fiesta @ DNA Lounge (San Francisco),Bootie SF: Barcelona Fiesta @ DNA Lounge (San Francisco),mashups,$10 b4 10pm/$15 pre/$20 | 21+|Bootie SF|Facebook Page
Sat: Mar 23(9pm-3am),19hz,Sat: Mar 23(9pm-3am),Recompression @ F8 (San Francisco),Recompression @ F8 (San Francisco),"tech house, funky house, bass music, dubstep",21+|Camp Ufo|
Sat: Mar 23(9:30pm-2am),19hz,Sat: Mar 23(9:30pm-2am),M.A.N.D.Y. + Ben Bohmer @ Audio (San Francisco),M.A.N.D.Y. + Ben Bohmer @ Audio (San Francisco),tech house,$10-20 | 21+|Audio San Francisco|
Sat: Mar 23(9:30pm-2am),19hz,Sat: Mar 23(9:30pm-2am),Relativity: A Test Of Time + Friends @ Wish Bar And Lounge (San Francisco),Relativity: A Test Of Time + Friends @ Wish Bar And Lounge (San Francisco),"melodic house, melodic techno",Free | 21+|A Test Of Time|
Sat: Mar 23(9:30pm-3:30am),19hz,Sat: Mar 23(9:30pm-3:30am),andhim & Powel @ Public Works (San Francisco),andhim & Powel @ Public Works (San Francisco),"progressive house, tech house",$18 | 21+|Publicworks|Facebook Page
Sat: Mar 23(9:30pm-3am),19hz,Sat: Mar 23(9:30pm-3am),Set w/ Dosem + Matt Lange @ Monarch (San Francisco),Set w/ Dosem + Matt Lange @ Monarch (San Francisco),"progressive house, deep house, tech house",$10-20 | 21+|SET|
Sat: Mar 23(10pm),19hz,Sat: Mar 23(10pm),SNBRN @ August Hall (San Francisco),SNBRN @ August Hall (San Francisco),"funky house, disco, pop EDM",$20 | 21+|August Hall|
